"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1104150,1,1041,"CHELIF, OUED","SIDI BELATAR","DZ",36.02,0.27,43750,2,1978,2001,24,58.35019641,1976,1977,2,0,1976,2001,26,"15.027","0.473891472","10.83180507",77.44
1104500,1,1040,"ISSER, OUED","LAKHDARIA","DZ",36.62,3.58,4149,90,NA,NA,NA,NA,1976,1979,4,0,1976,1979,4,"6.387","0.201420432","48.54674187",98.37
1104530,1,1040,"SEBAOU, OUED","BAGHLIA","DZ",36.8,3.87,2501,20,NA,NA,NA,NA,1976,1979,4,0,1976,1979,4,"17.581","0.554434416","221.6850924",97.56
1104600,1,1040,"BOU SELLAM, OUED","SIDI YAHIA","DZ",36.42,4.6,4309,220,1988,1997,10,0,1976,1978,3,0,1976,1997,22,"3.005","0.09476568","21.99249942",76.83
1107700,1,1071,"TAFNA, OUED","PIERRE DU CHAT","DZ",35.15,-1.45,7245,60,1979,2001,23,1.854156297,1976,1979,4,16.66666667,1976,2001,26,"2.567","0.080952912","11.17362484",47.36
1112100,1,1121,"SENEGAL FLEUVE","KAYES","ML",14.45,-11.28,157400,20,1981,1990,10,70.01642935,1951,1990,40,0,1951,1990,40,"200.748","6.330788928","40.22102241",70.73
1112110,1,1121,"KOLINBINE","KABATE","ML",14.31,-11.13,25000,-999,1981,1990,10,70.8652793,1981,1990,10,70.83333333,1981,1990,10,"5.757","0.181552752","7.26211008",92.89
1112200,1,1121,"FALEME RIVIERE","GOURBASSY","ML",13.23,-11.38,15000,-999,1981,1990,10,71.68674699,1954,1990,37,0,1954,1990,37,"57.429","1.811080944","120.7387296",70.73
1112300,1,1121,"SENEGAL FLEUVE","GALOUGO","ML",13.83,-11.13,127000,69,1981,1990,10,70.01642935,1905,1990,86,35.01945525,1905,1990,86,"189.209","5.966895024","46.98342539",70.73
1112320,1,1121,"BAKOYE","OUALIA","ML",13.36,-9.23,84400,-999,1981,1990,10,70.01642935,1951,1990,40,29.20168067,1951,1990,40,"31.979","1.008489744","11.94893062",92.68
1112330,1,1121,"BAOULE","SIRAMAKANA","ML",13.34,-9.53,58000,-999,1981,1990,10,73.35706462,1972,1990,19,60.96491228,1972,1990,19,"8.805","0.27767448","4.787491034",93.5
