grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
1447600,1,1471,MAMBILI,YENGO,CG,0.38,15.48,12000,335,1978,1980,3,0.091240876,1978,1980,3,0,1978,1980,3,193.81,6.11199216,509.33268
1447300,1,1471,LEFINI,BWAMBE,CG,-2.91,15.65,13500,310,1978,1980,3,0.547445255,1978,1980,3,0,1978,1980,3,415.974,13.11815606,971.715264
6457300,6,6571,SWEDRNIA,DEBE,PL,51.79305556,18.20277778,13760.1,106.88,1960,1981,22,0,1960,1980,21,0,1960,1981,22,1.934,0.060990624,4.432425927
3628700,3,3281,"SUCUNDURI, RIO",SANTAREM,BR,-6.75,-58.93,14597,-999,1975,2010,36,0.64293555,1978,1980,3,0,1975,2010,36,444.302,14.01150787,959.8895576
2911681,2,2111,MIASS,KARACHELSKOJE,RU,55.38,63.22,14600,-999,,,,,1954,1980,27,2.201257862,1954,1980,27,14.73,0.46452528,31.8168
1338252,1,1381,MBAM,MANTOUM,CM,5.62,11.18,14700,660,,,,,1965,1980,16,0.529100529,1965,1980,16,321.738,10.14632957,690.2265012
1495200,1,1951,RUNDE,TOKWE CONFLUENCE U/S C/S,ZW,-21.17,31.2,17100,-999,,,,,1962,1980,19,0,1962,1980,19,48.502,1.529559072,89.44789895
4664800,4,4641,"LEMPA, RIO",SAN MARCOS,SV,13.43,-88.7,18176,5,,,,,1965,1980,16,14.73684211,1965,1980,16,377.622,11.90868739,655.1874665
4244660,4,4440,LITTLE MECATINA RIVER,EN AMONT DE LA RIVIERE NETAGAMIOU,CA,50.8686,-59.5992,19100,50,1965,1980,16,10.17866811,1965,1980,16,11.53846154,1965,1980,16,495.48,15.62545728,818.0867686
3274150,3,3741,"SALI, RIO",EL SAUCE (1967: EMBALSE RIO HONDO),AR,-27.58,-64.5,20200,250,,,,,1925,1980,56,1.676829268,1925,1980,56,88.693,2.797022448,138.4664578
1348152,1,1481,KADEI,PANA,CM,4.2,14.68,20370,570,,,,,1965,1980,16,8.854166667,1965,1980,16,239.984,7.568135424,371.5334032
1491210,1,1911,GWAYI,DAHLIA CONTROL SECTION (63351138),ZW,-18.6,27.166667,20371,-999,1966,1990,25,9.867670545,1966,1980,15,8.333333333,1966,1990,25,6.643,0.209493648,10.28391576
1338600,1,1381,DJEREM,MBAKAOU,CM,6.33,12.82,20390,826,,,,,1959,1980,22,0.396825397,1959,1980,22,386.52,12.18929472,597.8074899
6457870,6,6571,WARTA,NOWA WIES PODGORNA,PL,52.14166667,17.59,20755.9,66.925,1960,2020,61,0.004563085,1960,1980,21,0,1960,2020,61,90.959,2.868483024,138.2008501
1495240,1,1951,RUNDE,TOKWE CONFLUENCE D/S C/S,ZW,-21.13,31.27,23000,-999,,,,,1962,1980,19,0,1962,1980,19,66.934,2.110830624,91.77524452
3664802,3,3641,"IGUACU, RIO",UNIAO DA VITORIA,BR,-26.22806,-51.08028,24211,670,1930,2017,88,0.197133738,1930,1980,51,0.662251656,1930,2017,88,494.118,15.58250525,643.6126243
3268150,3,3681,"BERMEJO, RIO",ZANJA DEL TIGRE,AR,-23.1,-64.22,24931.2,2,,,,,1940,1980,41,0,1940,1980,41,310.316,9.786125376,392.5252445
1335014,1,1351,BENUE RIVER,RIAO,CM,9.05,13.68,30650,186,,,,,1950,1980,31,9.315068493,1950,1980,31,241.201,7.606514736,248.1734008
3265030,3,3651,"PASAJE, RIO",MIRAFLORES,AR,-25.37,-64.83,34500,610,,,,,1929,1980,52,5.161290323,1929,1980,52,33.781,1.065317616,30.87877148
2416860,2,2161,NORIN,UST. KEKIRIM,KG,41.42,73.98,34600,1234,,,,,1934,1980,47,6.951871658,1934,1980,47,204.398,6.445895328,186.2975528
3265070,3,3651,"PASAJE, RIO",EL TUNAL,AR,-25.23,-64.47,38000,425,,,,,1941,1980,40,0,1941,1980,40,37.467,1.181559312,31.09366611
1338300,1,1381,MBAM,GOURA,CM,4.57,11.37,42300,396,,,,,1951,1980,30,0.574712644,1951,1980,30,709.251,22.36693954,528.7692562
4214700,4,4142,"EASTMAIN, RIVIERE",TETE DE LA GORGE DE BASILE,CA,52.25,-78.07,44300,35,1958,1980,23,3.907902925,1959,1980,22,0,1958,1980,23,908.31,28.64446416,646.6018998
4244620,4,4443,"MANICOUAGAN, RIVIERE",CENTRALE MCCORMICK,CA,49.2014,-68.3389,45800,37,1946,1980,35,5.814508431,1946,1980,35,5.811138015,1946,1980,35,871.346,27.47876746,599.9730886
2998504,2,2982,KOLYMA,DUSCANIA,RU,61.65,148.83,50100,-999,,,,,1948,1980,33,0,1948,1980,33,341.142,10.75825411,214.735611
2908010,2,2081,BIRYUSA,PHEDINO,RU,57.37,96.63,51000,-999,,,,,1937,1980,44,0,1937,1980,44,351.7,11.0912112,217.4747294
1335500,1,1351,BENUE RIVER,GAROUA,CM,9.3,13.38,64000,174,,,,,1930,1980,51,25.45454545,1930,1980,51,353.787,11.15702683,174.3285443
1634700,1,1341,"NIGER, RIVER",DIALAKORO,GN,11.42,-8.91,71000,-999,1954,1980,27,40.27135368,1954,1980,27,40.3125,1954,1980,27,1153.365,36.37251864,512.2889949
1338400,1,1381,SANAGA,NACHTIGAL,CM,4.35,11.63,76000,426,,,,,1951,1980,30,0,1951,1980,30,1075.476,33.91621114,446.265936
6457880,6,6571,LISWARTA,NIWKI,PL,50.82083333,18.6625,109810.7,231.505,1960,2020,61,0,1960,1980,21,0,1960,2020,61,1.453,0.045821808,0.417279992
1338050,1,1381,SANAGA,EDEA,CM,3.77,10.07,131520,12,,,,,1943,1980,38,0,1943,1980,38,1991.645,62.80851672,477.5586734
1496500,1,1961,LIMPOPO RIVER,BEITBRIDGE PUMPSTATION C/S (63533035),ZW,-22.216667,29.983333,208784,-999,1959,1990,32,23.28888104,1959,1980,22,2.777777778,1959,1990,32,66.551,2.098752336,10.05226615
4203200,4,4031,YUKON RIVER,DAWSON,CA,64.07,-139.43,264000,310,1945,1980,36,10.10247782,1945,1980,36,10.25641026,1945,1980,36,2222.336,70.0835881,265.4681367
